Country,Year,Sample,True_Risk,SUDA_Score,Error_%
Vietnam,1989,1,4483,14236,217.55520856569262
Vietnam,1989,2,4483,14268,218.26901628373858
Vietnam,2019,1,62254,203780,227.33639605487198
Vietnam,2019,2,62254,204992,229.28325890705818
Dominican Republic,1981,1,1633,4440,171.8922229026332
Dominican Republic,1981,2,1633,4396,169.19779546846294
Dominican Republic,2010,1,201,552,174.62686567164178
Dominican Republic,2010,2,201,536,166.66666666666669
Hungary,1980,1,49,168,242.85714285714283
Hungary,1980,2,49,168,242.85714285714283
Hungary,2011,1,69,352,410.1449275362318
Hungary,2011,2,69,352,410.1449275362318
Switzerland,1980,1,99,336,239.3939393939394
Switzerland,1980,2,99,336,239.3939393939394
Switzerland,2011,1,15061,29872,98.34008365978355
Switzerland,2011,2,15061,29864,98.28696633689663
